activity,amount,device,location,frequency,failed_attempts,risk_label,hour,day_of_week,is_weekend
Bill Payment,373.87,POS-Terminal,"London, UK",2,0,Not Fraud,17,0,0
Login,0.0,Mobile-Android,"Lagos, NG",2,0,Not Fraud,17,1,0
ATM Withdrawal,315.17,Mobile-Android,"Sydney, AU",3,0,Not Fraud,17,1,0
ATM Withdrawal,417.43,Desktop-Windows,"Chicago, US",2,3,Not Fraud,23,1,0
Login,0.0,ATM,"Lagos, NG",2,3,Not Fraud,0,2,0
Online Purchase,1372.97,Mobile-Android,"Dubai, AE",6,2,Fraud,23,0,0
Money Transfer,1945.22,Mobile-iOS,"Beijing, CN",1,0,Not Fraud,18,3,0
Money Transfer,7483.81,Desktop-Mac,"Toronto, CA",2,2,Not Fraud,11,6,1
Bill Payment,2090.03,Desktop-Mac,"Singapore, SG",2,0,Not Fraud,4,0,0
Password Change,0.0,ATM,"Sao Paulo, BR",6,0,Not Fraud,16,3,0
Card Swipe,32.53,ATM,"Beijing, CN",4,0,Not Fraud,10,0,0
Wallet Top-up,2066.28,Mobile-iOS,"Bangalore, IN",3,0,Not Fraud,16,6,1
Login,0.0,Desktop-Mac,"Dubai, AE",5,0,Not Fraud,16,2,0
Password Change,0.0,Tablet,"Moscow, RU",2,0,Fraud,23,3,0
Money Transfer,17138.96,POS-Terminal,"New York, US",2,0,Not Fraud,13,3,0
Wallet Top-up,1689.19,ATM,"Los Angeles, US",1,0,Not Fraud,16,4,0
Money Transfer,1993.87,ATM,"Moscow, RU",4,0,Not Fraud,16,1,0
Bill Payment,1479.8,Mobile-Android,"London, UK",1,0,Not Fraud,19,1,0
Money Transfer,15155.13,Tablet,"Chicago, US",6,0,Not Fraud,2,6,1
Login,0.0,Desktop-Mac,Unknown Location,4,3,Not Fraud,15,4,0
Add Beneficiary,0.0,Tablet,"Singapore, SG",2,0,Not Fraud,16,0,0
Card Swipe,404.35,POS-Terminal,"Sydney, AU",5,0,Not Fraud,8,4,0
Online Purchase,633.09,POS-Terminal,"Chicago, US",4,4,Not Fraud,17,6,1
Password Change,0.0,Desktop-Mac,"Lagos, NG",7,1,Fraud,17,5,1
Wallet Top-up,323.88,Mobile-iOS,"London, UK",4,5,Not Fraud,12,2,0
ATM Withdrawal,109.96,Mobile-Android,"Moscow, RU",3,0,Not Fraud,14,5,1
Online Purchase,1535.21,POS-Terminal,"New York, US",2,0,Not Fraud,19,4,0
Login,0.0,ATM,"Dubai, AE",2,0,Not Fraud,18,0,0
Loan Application,3969.56,Mobile-iOS,"Kolkata, IN",1,4,Fraud,17,4,0
Add Beneficiary,0.0,Tablet,"Dubai, AE",1,0,Not Fraud,10,1,0
Loan Application,16870.64,Desktop-Windows,"Los Angeles, US",4,0,Not Fraud,11,2,0
Wallet Top-up,482.31,Mobile-iOS,"Singapore, SG",3,0,Not Fraud,14,0,0
Card Swipe,498.35,POS-Terminal,"Mumbai, IN",1,0,Not Fraud,19,3,0
Add Beneficiary,0.0,Tablet,"Sao Paulo, BR",1,0,Not Fraud,21,4,0
Card Swipe,31.49,Mobile-Android,"Kolkata, IN",1,4,Not Fraud,21,0,0
Add Beneficiary,0.0,POS-Terminal,"Singapore, SG",4,0,Not Fraud,19,4,0
Card Swipe,361.27,ATM,"London, UK",1,2,Not Fraud,1,5,1
Card Swipe,318.81,Mobile-Android,"Sydney, AU",3,0,Not Fraud,13,6,1
Wallet Top-up,322.88,Desktop-Windows,"Berlin, DE",2,0,Not Fraud,18,3,0
Wallet Top-up,663.5,Tablet,"Toronto, CA",3,0,Not Fraud,18,2,0
Money Transfer,883.37,Mobile-Android,"Toronto, CA",4,3,Not Fraud,15,2,0
Bill Payment,556.06,Mobile-iOS,"Beijing, CN",3,0,Not Fraud,16,3,0
ATM Withdrawal,339.13,Desktop-Mac,"Kolkata, IN",2,1,Not Fraud,10,3,0
Loan Application,1442.69,Tablet,"Beijing, CN",3,0,Not Fraud,9,2,0
Login,0.0,POS-Terminal,"Moscow, RU",1,0,Not Fraud,11,2,0
Card Swipe,185.78,POS-Terminal,"Moscow, RU",5,2,Not Fraud,11,4,0
ATM Withdrawal,369.44,Mobile-Android,"Dubai, AE",3,2,Not Fraud,16,6,1
Wallet Top-up,785.55,ATM,"Chicago, US",2,2,Not Fraud,20,1,0
Wallet Top-up,1533.68,Mobile-iOS,"Dubai, AE",5,0,Not Fraud,12,3,0
Card Swipe,88.02,Mobile-iOS,"Sao Paulo, BR",2,0,Not Fraud,15,1,0
Money Transfer,5323.92,ATM,"Mumbai, IN",2,0,Not Fraud,10,1,0
Money Transfer,14089.54,POS-Terminal,"London, UK",2,0,Not Fraud,14,5,1
Wallet Top-up,758.5,Desktop-Windows,"Dubai, AE",2,1,Not Fraud,23,0,0
Card Swipe,91.15,Mobile-iOS,"Houston, US",2,1,Not Fraud,6,0,0
Password Change,0.0,Desktop-Mac,"Houston, US",1,2,Not Fraud,17,5,1
Bill Payment,1722.59,Tablet,"Chicago, US",1,3,Not Fraud,8,5,1
ATM Withdrawal,474.15,Desktop-Mac,"Houston, US",5,0,Not Fraud,9,0,0
ATM Withdrawal,92.18,Tablet,"Los Angeles, US",2,0,Not Fraud,17,0,0
Bill Payment,1818.51,Mobile-Android,"Singapore, SG",2,1,Not Fraud,9,1,0
Login,0.0,Desktop-Mac,"Sydney, AU",2,0,Not Fraud,21,0,0
Add Beneficiary,0.0,ATM,"Dubai, AE",3,0,Not Fraud,11,3,0
Money Transfer,5701.17,Mobile-Android,"Sao Paulo, BR",4,0,Not Fraud,20,1,0
Password Change,0.0,POS-Terminal,"Lagos, NG",1,0,Fraud,12,6,1
Add Beneficiary,0.0,Tablet,"Bangalore, IN",2,0,Not Fraud,18,6,1
Add Beneficiary,0.0,Mobile-Android,"Sao Paulo, BR",2,1,Not Fraud,18,2,0
Password Change,0.0,POS-Terminal,"New York, US",2,0,Not Fraud,19,2,0
Loan Application,8735.78,Tablet,"New York, US",2,5,Fraud,5,1,0
Bill Payment,1922.67,ATM,"Sydney, AU",1,1,Not Fraud,13,2,0
Login,0.0,Mobile-Android,"Kolkata, IN",4,0,Not Fraud,11,0,0
Login,0.0,Tablet,"Toronto, CA",5,3,Not Fraud,18,4,0
Loan Application,19262.99,Desktop-Windows,"Houston, US",2,0,Fraud,13,3,0
Wallet Top-up,2870.34,Desktop-Windows,"Beijing, CN",8,0,Not Fraud,20,2,0
Card Swipe,449.3,Mobile-Android,"Delhi, IN",4,0,Not Fraud,20,5,1
Wallet Top-up,1609.28,Mobile-Android,"Delhi, IN",4,0,Not Fraud,17,5,1
Loan Application,5418.06,Mobile-iOS,"Sydney, AU",1,1,Not Fraud,22,3,0
Online Purchase,2505.65,Mobile-Android,"Chicago, US",1,4,Not Fraud,19,5,1
Card Swipe,191.89,Tablet,"Singapore, SG",2,5,Fraud,11,0,0
Login,0.0,Tablet,"New York, US",2,2,Not Fraud,14,4,0
Card Swipe,164.67,Tablet,"Los Angeles, US",2,2,Not Fraud,0,1,0
Card Swipe,479.68,Mobile-iOS,"Delhi, IN",4,0,Not Fraud,11,5,1
Bill Payment,1716.37,Mobile-Android,"Sao Paulo, BR",5,0,Fraud,23,0,0
Login,0.0,ATM,"Moscow, RU",2,0,Not Fraud,9,6,1
Wallet Top-up,2576.21,Mobile-Android,"Houston, US",1,2,Not Fraud,2,1,0
Password Change,0.0,Desktop-Windows,"Mumbai, IN",2,0,Not Fraud,12,6,1
Bill Payment,2938.22,Desktop-Mac,"Berlin, DE",2,0,Not Fraud,10,6,1
Bill Payment,1923.54,Tablet,"Delhi, IN",6,0,Not Fraud,21,4,0
ATM Withdrawal,306.64,ATM,Tor Exit Node,4,0,Not Fraud,12,5,1
Bill Payment,2563.36,POS-Terminal,"Beijing, CN",1,0,Not Fraud,8,3,0
Card Swipe,278.73,Mobile-Android,"Los Angeles, US",3,0,Not Fraud,1,1,0
Card Swipe,316.98,Mobile-Android,"Beijing, CN",5,0,Not Fraud,8,2,0
Wallet Top-up,1337.31,Tablet,"Moscow, RU",3,0,Fraud,23,5,1
Password Change,0.0,Desktop-Mac,"Toronto, CA",2,0,Not Fraud,13,3,0
Bill Payment,1034.94,Desktop-Mac,"Kolkata, IN",2,0,Not Fraud,13,0,0
Login,0.0,Tablet,"Bangalore, IN",1,1,Not Fraud,14,3,0
Money Transfer,8473.68,Tablet,"Berlin, DE",3,0,Not Fraud,10,3,0
Bill Payment,872.34,POS-Terminal,"Moscow, RU",1,0,Not Fraud,16,1,0
Bill Payment,2917.14,POS-Terminal,"New York, US",1,0,Not Fraud,10,2,0
ATM Withdrawal,395.01,ATM,"New York, US",1,1,Not Fraud,14,5,1
Add Beneficiary,0.0,ATM,"London, UK",2,0,Not Fraud,5,2,0
Online Purchase,2214.17,Mobile-Android,"Sydney, AU",9,0,Fraud,1,3,0
Wallet Top-up,1565.17,Desktop-Windows,"Singapore, SG",5,0,Not Fraud,10,3,0
Password Change,0.0,Mobile-Android,"Delhi, IN",1,4,Not Fraud,0,4,0
Money Transfer,5012.01,ATM,"Moscow, RU",1,0,Not Fraud,14,4,0
Online Purchase,953.63,ATM,"Singapore, SG",4,0,Not Fraud,15,6,1
ATM Withdrawal,450.34,Tablet,"Beijing, CN",1,0,Not Fraud,13,0,0
Loan Application,18293.76,Desktop-Mac,"Toronto, CA",1,0,Not Fraud,15,6,1
Bill Payment,2649.38,Mobile-iOS,"Toronto, CA",1,4,Fraud,16,6,1
Card Swipe,385.21,POS-Terminal,"Toronto, CA",1,1,Not Fraud,8,1,0
Login,0.0,Mobile-Android,"Lagos, NG",5,1,Fraud,9,6,1
Login,0.0,ATM,"Los Angeles, US",5,0,Not Fraud,21,1,0
Loan Application,5353.02,Mobile-Android,Tor Exit Node,8,0,Fraud,2,2,0
Wallet Top-up,1972.35,Tablet,"Delhi, IN",1,0,Not Fraud,15,4,0
Bill Payment,2378.42,Mobile-iOS,"Sydney, AU",3,3,Not Fraud,14,2,0
Password Change,0.0,POS-Terminal,"Toronto, CA",1,0,Not Fraud,12,3,0
Password Change,0.0,POS-Terminal,"New York, US",1,0,Not Fraud,22,2,0
ATM Withdrawal,492.35,ATM,Tor Exit Node,5,3,Not Fraud,9,3,0
Card Swipe,184.27,Mobile-iOS,"London, UK",5,0,Not Fraud,8,4,0
Money Transfer,14485.43,POS-Terminal,"Sao Paulo, BR",5,0,Not Fraud,19,3,0
Money Transfer,15613.43,ATM,"Bangalore, IN",7,0,Not Fraud,21,3,0
Add Beneficiary,0.0,Tablet,"Lagos, NG",2,1,Fraud,3,6,1
Loan Application,11526.33,Desktop-Mac,"Chicago, US",2,0,Not Fraud,7,0,0
ATM Withdrawal,51.69,ATM,"Chicago, US",3,0,Not Fraud,14,0,0
Online Purchase,730.73,Tablet,"Los Angeles, US",3,0,Not Fraud,10,2,0
ATM Withdrawal,92.94,Tablet,"Chicago, US",1,2,Not Fraud,11,3,0
Money Transfer,14804.65,ATM,"Dubai, AE",1,0,Not Fraud,10,4,0
Card Swipe,21.15,Tablet,"Sydney, AU",1,0,Not Fraud,9,5,1
Loan Application,18125.5,Desktop-Windows,"Houston, US",3,0,Not Fraud,14,3,0
Add Beneficiary,0.0,POS-Terminal,"Mumbai, IN",1,0,Not Fraud,16,4,0
Wallet Top-up,2929.95,Tablet,"Sydney, AU",1,0,Not Fraud,7,6,1
Online Purchase,2767.2,Mobile-iOS,"New York, US",3,0,Not Fraud,11,3,0
ATM Withdrawal,407.83,ATM,"Kolkata, IN",7,3,Not Fraud,16,5,1
Add Beneficiary,0.0,Tablet,"Kolkata, IN",3,0,Not Fraud,16,1,0
Add Beneficiary,0.0,Desktop-Mac,"Lagos, NG",1,0,Not Fraud,23,2,0
Wallet Top-up,2729.14,POS-Terminal,Unknown Location,6,0,Not Fraud,12,4,0
Bill Payment,2182.6,Desktop-Windows,"Bangalore, IN",7,2,Fraud,18,2,0
Money Transfer,2674.34,Tablet,"Lagos, NG",1,0,Not Fraud,1,0,0
Wallet Top-up,2539.18,ATM,"Delhi, IN",2,0,Not Fraud,13,0,0
Login,0.0,POS-Terminal,"Kolkata, IN",4,0,Not Fraud,21,3,0
Password Change,0.0,Desktop-Mac,"Berlin, DE",3,2,Not Fraud,20,6,1
Wallet Top-up,1925.97,Desktop-Mac,"Bangalore, IN",6,2,Not Fraud,17,1,0
Add Beneficiary,0.0,Tablet,"Berlin, DE",8,0,Not Fraud,23,3,0
Card Swipe,91.58,Tablet,"Singapore, SG",2,0,Not Fraud,11,3,0
Loan Application,18759.96,Desktop-Windows,"Bangalore, IN",1,0,Not Fraud,17,2,0
ATM Withdrawal,168.8,POS-Terminal,"Sao Paulo, BR",1,1,Not Fraud,16,1,0
Add Beneficiary,0.0,Desktop-Mac,"Lagos, NG",1,0,Fraud,17,0,0
Bill Payment,2607.11,Desktop-Windows,"Toronto, CA",4,0,Not Fraud,9,4,0
Online Purchase,15.58,ATM,"Sydney, AU",5,0,Not Fraud,18,3,0
Loan Application,13206.44,Tablet,"New York, US",6,0,Not Fraud,13,1,0
Password Change,0.0,Tablet,"Dubai, AE",1,3,Not Fraud,1,4,0
ATM Withdrawal,309.43,Tablet,"Houston, US",2,0,Not Fraud,17,0,0
Password Change,0.0,Desktop-Mac,"Dubai, AE",1,0,Not Fraud,21,0,0
Wallet Top-up,1244.2,Mobile-Android,"Lagos, NG",9,0,Fraud,9,2,0
Add Beneficiary,0.0,Tablet,"Kolkata, IN",2,0,Not Fraud,16,3,0
Bill Payment,2651.57,Mobile-Android,"New York, US",3,0,Not Fraud,10,2,0
Login,0.0,Mobile-iOS,"New York, US",1,0,Not Fraud,11,4,0
Wallet Top-up,1652.23,Desktop-Windows,"Delhi, IN",3,4,Not Fraud,18,3,0
Password Change,0.0,ATM,"New York, US",1,0,Not Fraud,21,4,0
Card Swipe,394.15,Tablet,"Toronto, CA",4,0,Not Fraud,12,5,1
Money Transfer,19393.79,POS-Terminal,"Sydney, AU",1,0,Not Fraud,10,0,0
ATM Withdrawal,355.58,Mobile-Android,"Sydney, AU",1,0,Not Fraud,11,2,0
Money Transfer,7515.6,Desktop-Mac,"Sydney, AU",4,3,Not Fraud,1,4,0
Card Swipe,368.9,ATM,"Singapore, SG",5,3,Not Fraud,14,3,0
Card Swipe,199.92,Mobile-Android,"Beijing, CN",3,0,Not Fraud,20,4,0
ATM Withdrawal,21.02,Desktop-Windows,"Houston, US",1,0,Not Fraud,18,6,1
Bill Payment,476.7,Mobile-Android,"Houston, US",2,0,Not Fraud,7,0,0
Bill Payment,218.37,Mobile-Android,"Chicago, US",2,1,Not Fraud,16,3,0
Add Beneficiary,0.0,POS-Terminal,"Dubai, AE",3,0,Not Fraud,9,6,1
Wallet Top-up,240.24,Mobile-iOS,"Los Angeles, US",5,1,Not Fraud,21,0,0
Card Swipe,240.57,Tablet,"London, UK",2,0,Not Fraud,22,0,0
Card Swipe,24.83,ATM,"Houston, US",4,0,Not Fraud,13,1,0
Add Beneficiary,0.0,Tablet,"Beijing, CN",4,0,Not Fraud,19,1,0
Wallet Top-up,481.27,ATM,"Beijing, CN",2,5,Not Fraud,13,6,1
Bill Payment,1989.52,ATM,"Sydney, AU",3,0,Not Fraud,6,1,0
ATM Withdrawal,478.38,Tablet,"Berlin, DE",2,0,Not Fraud,5,0,0
Bill Payment,1984.34,Tablet,"Bangalore, IN",1,2,Not Fraud,13,5,1
Password Change,0.0,Tablet,"Delhi, IN",1,0,Not Fraud,23,4,0
Wallet Top-up,2463.16,Mobile-Android,"London, UK",4,0,Not Fraud,11,6,1
Add Beneficiary,0.0,Mobile-iOS,"Houston, US",2,3,Not Fraud,14,4,0
Bill Payment,407.16,Desktop-Mac,"Beijing, CN",9,0,Not Fraud,5,4,0
Loan Application,18609.7,Tablet,"Dubai, AE",2,0,Fraud,16,5,1
Online Purchase,2137.83,Desktop-Windows,"New York, US",1,0,Not Fraud,10,2,0
Money Transfer,2884.65,Desktop-Windows,"Bangalore, IN",1,2,Not Fraud,18,5,1
Money Transfer,13697.28,Mobile-Android,"Singapore, SG",2,0,Not Fraud,14,4,0
Add Beneficiary,0.0,Mobile-iOS,"New York, US",7,1,Not Fraud,11,6,1
Loan Application,3423.13,Tablet,"New York, US",2,0,Not Fraud,3,1,0
Bill Payment,1849.31,Mobile-Android,"Moscow, RU",6,1,Not Fraud,10,2,0
Online Purchase,1457.33,Mobile-Android,"Kolkata, IN",3,2,Not Fraud,19,5,1
Online Purchase,1983.7,POS-Terminal,"Dubai, AE",1,0,Not Fraud,17,2,0
Card Swipe,205.38,Tablet,"London, UK",3,0,Not Fraud,11,0,0
ATM Withdrawal,464.34,POS-Terminal,"Kolkata, IN",1,0,Not Fraud,13,4,0
Password Change,0.0,POS-Terminal,"Lagos, NG",2,1,Not Fraud,10,4,0
Wallet Top-up,1015.53,Mobile-Android,"Beijing, CN",5,0,Not Fraud,17,2,0
Online Purchase,2177.13,Mobile-Android,"Los Angeles, US",3,2,Not Fraud,10,6,1
Money Transfer,17135.99,POS-Terminal,"Lagos, NG",8,2,Fraud,8,1,0
Card Swipe,333.63,ATM,"Delhi, IN",6,1,Not Fraud,6,2,0
Money Transfer,5581.89,Desktop-Windows,"Kolkata, IN",1,0,Not Fraud,4,3,0
Bill Payment,1938.22,Mobile-iOS,"Moscow, RU",1,0,Not Fraud,7,0,0
Money Transfer,1454.73,Desktop-Mac,"Chicago, US",3,3,Not Fraud,17,6,1
Password Change,0.0,POS-Terminal,Tor Exit Node,2,0,Not Fraud,21,0,0
Login,0.0,Desktop-Mac,"Chicago, US",2,5,Not Fraud,12,5,1
Login,0.0,Tablet,"Dubai, AE",2,2,Not Fraud,16,4,0
Add Beneficiary,0.0,Mobile-Android,"Moscow, RU",2,0,Not Fraud,16,3,0
Online Purchase,80.97,Mobile-Android,"Berlin, DE",3,0,Not Fraud,23,3,0
Password Change,0.0,Desktop-Mac,"Chicago, US",5,1,Not Fraud,4,5,1
Loan Application,4698.06,POS-Terminal,"New York, US",6,0,Not Fraud,6,1,0
Bill Payment,1899.82,Desktop-Mac,"Moscow, RU",5,0,Not Fraud,21,5,1
Loan Application,15993.55,Desktop-Windows,"Dubai, AE",9,1,Fraud,9,6,1
Bill Payment,968.16,Tablet,"Houston, US",1,0,Not Fraud,22,6,1
Card Swipe,129.39,ATM,"Moscow, RU",2,0,Not Fraud,15,1,0
Login,0.0,Tablet,"Singapore, SG",2,2,Not Fraud,9,0,0
ATM Withdrawal,266.31,Mobile-Android,"Moscow, RU",4,0,Not Fraud,12,4,0
Add Beneficiary,0.0,Tablet,"Kolkata, IN",3,2,Not Fraud,0,4,0
Login,0.0,ATM,"Kolkata, IN",2,0,Not Fraud,9,2,0
ATM Withdrawal,112.7,ATM,"Bangalore, IN",1,0,Not Fraud,10,5,1
Card Swipe,262.3,Tablet,"Lagos, NG",2,1,Not Fraud,5,3,0
Online Purchase,298.7,Mobile-iOS,"Los Angeles, US",3,0,Not Fraud,18,0,0
Loan Application,9127.07,Mobile-iOS,"Moscow, RU",9,0,Fraud,12,4,0
ATM Withdrawal,76.89,ATM,"Mumbai, IN",6,0,Not Fraud,20,3,0
Money Transfer,8263.34,Desktop-Mac,"Dubai, AE",1,1,Not Fraud,14,6,1
Add Beneficiary,0.0,Mobile-iOS,"Singapore, SG",6,0,Not Fraud,15,6,1
Wallet Top-up,105.69,POS-Terminal,"Dubai, AE",2,0,Not Fraud,14,3,0
Bill Payment,1078.43,POS-Terminal,"Toronto, CA",4,2,Not Fraud,10,5,1
Bill Payment,2623.23,POS-Terminal,"Bangalore, IN",3,2,Not Fraud,12,5,1
Wallet Top-up,102.98,Tablet,"Lagos, NG",1,1,Not Fraud,12,4,0
Password Change,0.0,Desktop-Mac,"Moscow, RU",2,0,Not Fraud,20,4,0
Bill Payment,2943.85,POS-Terminal,Tor Exit Node,3,4,Fraud,10,5,1
Password Change,0.0,Desktop-Windows,"Los Angeles, US",2,0,Not Fraud,21,5,1
Wallet Top-up,2698.86,POS-Terminal,"Berlin, DE",7,0,Not Fraud,13,6,1
Add Beneficiary,0.0,Mobile-iOS,"Toronto, CA",3,0,Not Fraud,21,1,0
ATM Withdrawal,214.1,Desktop-Windows,"Delhi, IN",4,0,Not Fraud,17,4,0
Online Purchase,2505.67,Desktop-Windows,"Beijing, CN",4,0,Not Fraud,14,3,0
Loan Application,2682.49,Mobile-iOS,"Bangalore, IN",9,1,Not Fraud,18,5,1
ATM Withdrawal,233.4,Tablet,"Toronto, CA",9,2,Not Fraud,8,2,0
Password Change,0.0,Mobile-iOS,"Houston, US",4,1,Not Fraud,15,5,1
Card Swipe,274.53,Mobile-Android,"Delhi, IN",2,0,Not Fraud,8,6,1
Wallet Top-up,2926.93,Desktop-Windows,"Kolkata, IN",4,5,Not Fraud,11,4,0
Password Change,0.0,Mobile-Android,"Chicago, US",3,0,Not Fraud,17,1,0
Password Change,0.0,Mobile-iOS,"Lagos, NG",1,3,Fraud,7,5,1
Money Transfer,10791.33,Desktop-Mac,"Houston, US",2,0,Not Fraud,13,0,0
Bill Payment,2149.31,Desktop-Windows,"Mumbai, IN",2,0,Not Fraud,12,5,1
Add Beneficiary,0.0,POS-Terminal,"Kolkata, IN",2,2,Not Fraud,19,5,1
Bill Payment,627.31,Mobile-Android,Unknown Location,3,0,Not Fraud,13,3,0
Bill Payment,1669.66,Mobile-iOS,"Houston, US",2,0,Not Fraud,17,2,0
Card Swipe,284.05,Mobile-iOS,"London, UK",8,2,Not Fraud,13,2,0
Add Beneficiary,0.0,Mobile-iOS,"New York, US",4,0,Not Fraud,9,6,1
Loan Application,9635.69,Desktop-Mac,"Kolkata, IN",5,0,Not Fraud,13,2,0
Loan Application,1217.28,Desktop-Windows,"Houston, US",1,0,Not Fraud,11,1,0
ATM Withdrawal,269.51,POS-Terminal,"Houston, US",1,1,Not Fraud,22,2,0
ATM Withdrawal,345.87,Desktop-Windows,"Dubai, AE",1,0,Not Fraud,17,3,0
Password Change,0.0,Mobile-iOS,"Sydney, AU",5,1,Not Fraud,21,1,0
Money Transfer,2375.48,Desktop-Windows,"Beijing, CN",1,0,Not Fraud,8,0,0
Login,0.0,ATM,"Beijing, CN",3,0,Not Fraud,18,6,1
Add Beneficiary,0.0,Mobile-Android,"Berlin, DE",4,0,Not Fraud,17,0,0
Card Swipe,68.27,Mobile-Android,"Sao Paulo, BR",4,3,Not Fraud,10,4,0
Password Change,0.0,Desktop-Windows,"Kolkata, IN",2,0,Not Fraud,1,4,0
Money Transfer,16400.75,Mobile-iOS,"Kolkata, IN",1,1,Not Fraud,18,3,0
Wallet Top-up,2554.63,Desktop-Mac,"Beijing, CN",1,2,Not Fraud,13,0,0
Wallet Top-up,686.52,Mobile-Android,"Sydney, AU",2,0,Not Fraud,7,2,0
Password Change,0.0,Tablet,"Sao Paulo, BR",3,2,Not Fraud,13,6,1
Online Purchase,2571.04,POS-Terminal,"Mumbai, IN",1,1,Not Fraud,20,4,0
Wallet Top-up,1977.35,POS-Terminal,"Lagos, NG",1,3,Not Fraud,6,6,1
Online Purchase,1019.2,ATM,"Delhi, IN",2,1,Not Fraud,15,5,1
Card Swipe,336.67,Mobile-iOS,"Berlin, DE",1,0,Not Fraud,22,3,0
Login,0.0,Desktop-Mac,"Beijing, CN",9,0,Not Fraud,7,5,1
Loan Application,12483.49,ATM,"Sydney, AU",2,0,Not Fraud,18,2,0
ATM Withdrawal,275.79,ATM,"New York, US",2,3,Not Fraud,19,6,1
Add Beneficiary,0.0,Tablet,"Beijing, CN",4,2,Not Fraud,13,5,1
Add Beneficiary,0.0,Desktop-Mac,"Beijing, CN",3,0,Not Fraud,13,6,1
Wallet Top-up,171.93,POS-Terminal,"Mumbai, IN",9,0,Not Fraud,10,5,1
Bill Payment,2511.62,ATM,"Singapore, SG",2,0,Not Fraud,11,1,0
Password Change,0.0,POS-Terminal,"Toronto, CA",1,1,Not Fraud,4,6,1
Bill Payment,64.04,Desktop-Mac,"Lagos, NG",6,0,Not Fraud,11,6,1
Password Change,0.0,Mobile-Android,"Berlin, DE",1,1,Not Fraud,12,1,0
Loan Application,6025.44,ATM,"Kolkata, IN",1,2,Not Fraud,23,3,0
Login,0.0,Mobile-iOS,"Moscow, RU",8,1,Fraud,11,4,0
ATM Withdrawal,42.96,Desktop-Windows,"Berlin, DE",3,0,Not Fraud,19,6,1
Password Change,0.0,Tablet,"Bangalore, IN",4,0,Not Fraud,9,0,0
Loan Application,10009.11,Desktop-Mac,"London, UK",3,2,Fraud,16,4,0
Wallet Top-up,605.94,POS-Terminal,"Berlin, DE",5,0,Not Fraud,13,4,0
ATM Withdrawal,413.62,Mobile-iOS,"Delhi, IN",1,0,Not Fraud,16,1,0
Card Swipe,284.31,Mobile-iOS,"Chicago, US",1,0,Not Fraud,13,4,0
Login,0.0,Mobile-Android,"Dubai, AE",1,0,Not Fraud,22,0,0
Money Transfer,7968.06,Mobile-Android,"Lagos, NG",2,0,Fraud,19,6,1
Loan Application,2489.42,POS-Terminal,"Delhi, IN",4,0,Not Fraud,19,4,0
Money Transfer,3544.33,ATM,"Lagos, NG",2,0,Fraud,23,4,0
Add Beneficiary,0.0,ATM,Tor Exit Node,2,1,Not Fraud,13,3,0
Login,0.0,Desktop-Windows,"Lagos, NG",2,4,Fraud,17,0,0
Online Purchase,2573.65,Desktop-Windows,"Toronto, CA",7,1,Not Fraud,12,1,0
Card Swipe,319.36,ATM,"New York, US",5,2,Not Fraud,20,1,0
Password Change,0.0,Mobile-Android,"Dubai, AE",3,0,Not Fraud,17,1,0
Card Swipe,350.65,POS-Terminal,"Bangalore, IN",3,0,Not Fraud,18,0,0
Loan Application,1690.53,ATM,"Beijing, CN",1,0,Not Fraud,8,2,0
Card Swipe,438.02,ATM,"Mumbai, IN",1,0,Not Fraud,8,6,1
Add Beneficiary,0.0,Mobile-Android,"Kolkata, IN",7,0,Not Fraud,22,3,0
ATM Withdrawal,353.62,Tablet,"London, UK",1,0,Not Fraud,9,6,1
Card Swipe,415.36,Mobile-iOS,"Kolkata, IN",5,0,Not Fraud,13,5,1
Add Beneficiary,0.0,Desktop-Windows,"Sao Paulo, BR",1,0,Not Fraud,20,2,0
ATM Withdrawal,125.39,POS-Terminal,"Moscow, RU",1,0,Not Fraud,13,4,0
Add Beneficiary,0.0,Mobile-Android,"Los Angeles, US",1,0,Not Fraud,17,4,0
Login,0.0,Desktop-Mac,"Beijing, CN",1,2,Not Fraud,10,2,0
ATM Withdrawal,93.23,Mobile-iOS,"Los Angeles, US",4,0,Not Fraud,13,2,0
Login,0.0,Desktop-Windows,"Sao Paulo, BR",7,0,Fraud,23,5,1
Wallet Top-up,942.47,ATM,"Kolkata, IN",3,3,Not Fraud,20,1,0
Bill Payment,168.43,POS-Terminal,"Bangalore, IN",1,2,Not Fraud,9,1,0
Password Change,0.0,Desktop-Mac,"Chicago, US",4,0,Not Fraud,23,0,0
ATM Withdrawal,98.52,Tablet,"Singapore, SG",3,0,Not Fraud,9,1,0
Add Beneficiary,0.0,POS-Terminal,"Los Angeles, US",2,0,Not Fraud,21,3,0
Loan Application,18586.51,Mobile-Android,"Bangalore, IN",4,0,Not Fraud,7,2,0
Login,0.0,POS-Terminal,"Singapore, SG",4,0,Not Fraud,16,0,0
Login,0.0,Mobile-Android,"Delhi, IN",1,4,Fraud,18,1,0
Add Beneficiary,0.0,POS-Terminal,"Chicago, US",1,2,Not Fraud,18,5,1
Password Change,0.0,Mobile-iOS,"Sydney, AU",6,0,Not Fraud,17,0,0
Password Change,0.0,Mobile-Android,"New York, US",2,0,Not Fraud,16,6,1
Wallet Top-up,1890.53,Mobile-Android,"Singapore, SG",2,0,Not Fraud,14,1,0
Wallet Top-up,1286.06,Mobile-Android,"Sydney, AU",2,0,Not Fraud,15,5,1
